zip_code,num_households,med_income_12m
01760,15153,123109
01770,1515,218906
01772,3364,173056
01773,2123,172891
01775,2646,147841
01776,6208,217847
01778,4838,203125
01801,16292,95184
01803,10093,124755
01810,13235,155252
01821,11664,126146
01824,9915,130215
01826,12350,94882
01827,1136,177803
01830,10759,66052
01832,9915,70910
01833,3185,130240
01834,2532,121711
01835,5434,92880
01840,3068,28347
01841,17019,47527
01843,10204,61362
01844,18792,87181
01845,10971,120954
01850,5864,59571
01851,11376,72133
01852,14628,68256
01854,10417,58422
01860,2589,88832
01862,3956,106964
01863,3713,108427
01864,5848,123813
01867,9297,145471
01876,11903,112917
01879,4053,130509
01880,10905,110878
01886,8515,161076
01887,7756,146250
01890,8149,184844
01901,1194,24207
01902,18673,53802
01904,7044,94006
01905,9339,64885
01906,10581,93737
01907,6169,112668
01908,1678,99456
01913,7326,87433
01915,16363,89076
01921,2905,186899
01922,1196,193667
01923,10964,105654
01929,1335,115670
01930,13168,82984
01937,0,-
01938,5573,111701
01940,4663,144116
01944,2080,193279
01945,8075,154049
01949,3122,155482
01950,7537,115807
01951,1337,122344
01952,3885,92048
01960,22681,83539
01965,354,223570
01966,3319,88377
01969,2326,124196
01970,19699,72994
01982,2575,116955
01983,2202,155208
01984,1291,154375
01985,1591,164250
02019,6250,109042
02021,9305,118814
02025,3146,156689
02026,10458,108047
02030,1916,"250,000+"
02032,1522,161292
02035,7289,95410
02038,12118,127608
02043,9252,154300
02045,4380,117120
02047,89,93309
02048,8707,122274
02050,10142,109524
02052,4373,196820
02053,4812,147276
02054,3078,131138
02056,2967,168281
02061,3567,172022
02062,13002,96414
02066,7412,132639
02067,6395,157928
02071,383,183894
02072,11277,94823
02081,7251,129972
02090,5424,171071
02093,4480,147201
02108,1905,151793
02109,1958,156351
02110,1282,123942
02111,3515,65587
02113,4025,100613
02114,7358,118125
02115,9455,47486
02116,11707,121967
02118,13847,71096
02119,11953,34987
02120,4701,50728
02121,10718,40732
02122,9004,77081
02124,19395,65683
02125,12986,60612
02126,8785,61180
02127,16799,131782
02128,16925,71630
02129,9278,140534
02130,17609,106153
02131,12450,93601
02132,10941,114596
02133,0,-
02134,8082,70021
02135,20040,85792
02136,13929,81859
02138,14377,108692
02139,15263,113374
02140,9437,119827
02141,6826,96563
02142,2077,137723
02143,11623,111201
02144,11363,117601
02145,11349,99035
02148,25582,77082
02149,17091,71574
02150,13337,64688
02151,21663,72971
02152,8242,86780
02155,24771,107937
02163,403,67292
02169,27629,80087
02170,8001,92052
02171,8869,90558
02176,11926,125000
02180,9758,105541
02184,14384,114916
02186,8797,154125
02188,7085,98327
02189,6194,80020
02190,7677,93988
02191,3444,95846
02199,833,106182
02203,0,-
02205,0,-
02210,3016,160000
02215,7931,58466
02301,22928,65275
02302,12164,75280
02322,1653,127953
02324,8657,107932
02325,30,22708
02330,4648,61811
02332,6092,130260
02333,4952,110924
